Name,Month,Total Hours,Average Rate,Rate,Wage
Alice,2024-01-01,245, $25.00,25.00,7021.25
Alice,2024-02-01,224,26.00 $ ,26.00,6483.10
Alice,2024-03-01,250,$27.00,27.00,7785.45
Bob,2024-01-01,240, €22.50,22.50,6150.38
Bob,2024-02-01,230,€ 23.00,23.00,5942.05
Bob,2024-03-01,245,24.00 €,24.00,6740.40
Charlie,2024-01-01,255,$30.00,30.00,8875.50
Charlie,2024-02-01,238,$31.00,31.00,8380.85
Charlie,2024-03-01,260, $32.00,32.00,9707.20
Diana,2024-01-01,220,£28.50,28.50,6935.47
Diana,2024-02-01,235,£29.00,29.00,7709.65
Diana,2024-03-01,210,30.00£ ,30.00,6850.50
